"","I","ID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","Start","Stop","C","Event","Xi"
"14",11,2,0,0.752111069392413,1,0.104811624391004,4,2,0.0815925842616707,1.0718994399067,4,0.275555388303474,1,1,0,1,0.846080304589123,2,0.467390625271946,0,1,0.819057342641558,1.474,3.288,0,0,1.10127984007444
"15",12,2,0,0.752111069392413,1,0.292536488501355,3,2,0.0815925842616707,1.0718994399067,4,0.275555388303474,1,1,0,2,0.315859564114362,2,0.241024233866483,1,0,1.4917360522253,3.288,4.736,0,0,1.04560508422253
"16",13,2,0,0.752111069392413,1,0.967620058450848,4,2,0.0815925842616707,1.0718994399067,4,0.275555388303474,1,1,0,3,0.289432521443814,2,0.155555078759789,1,1,2.02841145130174,4.736,6.437,0,0,1.09181877884188
"17",14,2,0,0.752111069392413,1,0.938267636345699,2,2,0.0815925842616707,1.0718994399067,4,0.275555388303474,1,1,1,4,0.369491205783561,2,0.370689743198454,1,0,2.65889515225795,6.437,6.913,0,0,0.988208505376126
"18",15,2,0,0.752111069392413,1,0.715381698217243,4,2,0.0815925842616707,1.0718994399067,4,0.275555388303474,1,1,1,1,0.872646886622533,2,0.424583557294682,1,0,2.83538672725396,6.913,8.661,0,0,1.09457624085282
"19",16,2,0,0.752111069392413,0,0.905494697159156,1,2,0.0815925842616707,1.0718994399067,4,0.275555388303474,1,1,1,2,0.51322576100938,2,0.359235235955566,1,1,3.48348235052146,8.661,8.925,0,1,0.949771512685876
"23",17,3,1,0.432781773619354,1,0.625764456111938,1,1,0.185436196159571,1.29093402111903,3,0.662287075771019,1,0,0,3,0.25135122705251,0,0.646524882176891,0,1,0.620061077177525,0,0.242,0,0,0.998072034093585
"24",18,3,1,0.432781773619354,1,0.261627557920292,1,1,0.185436196159571,1.29093402111903,3,0.662287075771019,1,0,0,2,0.986527571687475,0,0.928128602914512,1,0,0.843658397979612,0.242,0.815,0,0,1.00171300768125
"25",19,3,1,0.432781773619354,0,0.722974512958899,5,1,0.185436196159571,1.29093402111903,3,0.662287075771019,1,0,0,2,0.975527030881494,0,0.360985034145415,1,1,1.3733403463996,0.815,4.978,0,0,1.23010320529297
"26",20,3,1,0.432781773619354,0,0.112478914437816,3,1,0.185436196159571,1.29093402111903,3,0.662287075771019,1,0,0,1,0.798094649100676,0,0.135185357183218,1,1,5.22260943503253,4.978,5.935,0,0,1.1198592733208
"27",21,3,1,0.432781773619354,1,0.137176730204374,5,1,0.185436196159571,1.29093402111903,3,0.662287075771019,1,0,0,4,0.258646063273773,0,0.557384937535971,2,1,6.10695096800359,5.935,7.161,0,0,1.22501862802752
"28",22,3,1,0.432781773619354,0,0.499554262962192,5,1,0.185436196159571,1.29093402111903,3,0.662287075771019,1,0,0,1,0.69703007536009,1,0.949460942996666,2,1,7.24087613136174,7.161,8.302,0,0,1.23285457736614
"29",23,3,1,0.432781773619354,0,0.410275108879432,1,1,0.185436196159571,1.29093402111903,3,0.662287075771019,1,0,1,5,0.863176136743277,1,0.333165767835453,2,0,8.29606547780159,8.302,8.833,0,0,1.01027752127294
"30",24,3,1,0.432781773619354,1,0.973351747030392,5,1,0.185436196159571,1.29093402111903,3,0.662287075771019,1,0,1,1,0.030920057091862,1,0.404588995035738,2,1,8.78686463877456,8.833,10.179,0,0,1.21481803514753
"31",25,3,1,0.432781773619354,1,0.79154986073263,4,1,0.185436196159571,1.29093402111903,3,0.662287075771019,1,0,1,1,0.797390047227964,1,0.369056984083727,2,0,10.0313425916823,10.179,32.894,0,0,1.15767342055427
"32",26,3,1,0.432781773619354,0,0.204153839265928,3,1,0.185436196159571,1.29093402111903,3,0.662287075771019,1,0,1,3,0.0193062555044889,1,0.0919446011539549,2,1,31.0327697901557,32.894,36.969,0,1,1.11883311361124
"34",27,4,1,0.626658713677898,0,0.61114758416079,5,1,0.0984240067191422,1.38508707098663,3,0.321948529686779,1,0,0,4,0.00250370474532247,1,0.386400662362576,0,1,0.567096596816555,0,0.354,0,0,1.23386943220006
"35",28,4,1,0.626658713677898,1,0.326528304954991,4,1,0.0984240067191422,1.38508707098663,3,0.321948529686779,1,0,0,2,0.889357757987455,1,0.131671286420897,1,1,0.634282405545282,0.354,1.449,0,0,1.16532649862915
"36",29,4,1,0.626658713677898,0,0.635632620425895,1,1,0.0984240067191422,1.38508707098663,3,0.321948529686779,1,0,0,3,0.0319465538486838,1,0.0646195898298174,1,1,0.842337974701507,1.449,2.778,0,0,1.00995953019096
"37",30,4,1,0.626658713677898,1,0.719716800143942,2,1,0.0984240067191422,1.38508707098663,3,0.321948529686779,1,0,0,2,0.236789100104943,1,0.0980493112001568,1,1,1.09457363104312,2.778,4.663,0,0,1.05029325865927
"38",31,4,1,0.626658713677898,0,0.0463896954897791,1,1,0.0984240067191422,1.38508707098663,3,0.321948529686779,1,0,0,5,0.362837232649326,1,0.783729566028342,1,0,1.45254420126313,4.663,7.166,0,0,1.01592821301823
"39",32,4,1,0.626658713677898,0,0.232351925689727,4,1,0.0984240067191422,1.38508707098663,3,0.321948529686779,1,0,0,4,0.554924643831328,1,0.686268051853403,1,0,1.92788652122613,7.166,8.665,0,0,1.17814723876323
"40",33,4,1,0.626658713677898,0,0.758654001867399,1,1,0.0984240067191422,1.38508707098663,3,0.321948529686779,1,0,0,3,0.941623301478103,1,0.0178202614188194,2,0,2.21254102670108,8.665,9.939,0,0,1.00871782796114
"41",34,4,1,0.626658713677898,0,0.920596086187288,3,1,0.0984240067191422,1.38508707098663,3,0.321948529686779,1,0,1,4,0.299824298825115,1,0.169469190761447,2,1,2.45443015991401,9.939,11.636,0,0,1.11300172958275
"42",35,4,1,0.626658713677898,1,0.770793981384486,1,2,0.0984240067191422,1.38508707098663,3,0.321948529686779,1,0,1,5,0.850067320046946,2,0.121178542030975,2,0,2.77673540934002,11.636,28.05,0,0,0.949859355037044
"43",36,4,1,0.626658713677898,0,0.403468484291807,3,2,0.0984240067191422,1.38508707098663,3,0.321948529686779,1,0,1,1,0.280557545600459,2,0.243987756315619,2,1,5.89387314762197,28.05,36.266,0,0,1.06420910864781
"44",37,4,1,0.626658713677898,1,0.979259869083762,5,2,0.0984240067191422,1.38508707098663,3,0.321948529686779,1,0,1,1,0.961277034366503,2,0.552074258681387,2,0,7.45397080131584,36.266,56.724,0,1,1.15774481568493
"45",38,5,0,0.621631346875802,1,0.313598181353882,2,1,0.921612232923508,1.88919686339796,2,0.242324800696224,0,0,0,2,0.129676389042288,1,0.117179388878867,0,0,0.638102002441883,0,0.343,0,0,1.0440217594781
"46",39,5,0,0.621631346875802,1,0.633467197185382,3,1,0.921612232923508,1.88919686339796,2,0.242324800696224,0,0,0,1,0.848086567595601,1,0.561341689201072,0,1,0.841476414256293,0.343,0.837,0,0,1.09404478653856
"47",40,5,0,0.621631346875802,1,0.271539667854086,4,1,0.921612232923508,1.88919686339796,2,0.242324800696224,0,0,0,5,0.289399717701599,1,0.366253027925268,0,1,1.13473131691832,0.837,1.522,0,0,1.15430786906478
"48",41,5,0,0.621631346875802,1,0.367697158595547,1,1,0.921612232923508,1.88919686339796,2,0.242324800696224,0,0,0,1,0.417958515696228,1,0.781565495533869,1,1,1.54085626656709,1.522,4.426,0,0,0.992567103509669
"49",42,5,0,0.621631346875802,0,0.509991593193263,3,1,0.921612232923508,1.88919686339796,2,0.242324800696224,0,0,0,1,0.547604506602511,1,0.166135499952361,2,0,3.26330392775599,4.426,5.961,0,0,1.10640541713399
"50",43,5,0,0.621631346875802,1,0.257276460761204,4,1,0.921612232923508,1.88919686339796,2,0.242324800696224,0,0,1,4,0.418535760138184,1,0.71934080356732,2,1,4.17387760356766,5.961,7.339,0,0,1.15447252212876
"51",44,5,0,0.621631346875802,0,0.580735402181745,4,2,0.921612232923508,1.88919686339796,2,0.242324800696224,0,0,1,3,0.910159717779607,1,0.680708413943648,2,1,4.99154862965988,7.339,14.326,0,0,1.1056229805944
"52",45,5,0,0.621631346875802,0,0.0748226547148079,1,2,0.921612232923508,1.88919686339796,2,0.242324800696224,0,0,1,4,0.244361004326493,1,0.336125537287444,2,1,9.13573029724266,14.326,22.279,0,0,0.95644507649987
"53",46,5,0,0.621631346875802,0,0.765180675778538,5,2,0.921612232923508,1.88919686339796,2,0.242324800696224,0,0,1,4,0.0258373888209462,1,0.488094575004652,2,0,13.8538410431924,22.279,29.709,0,0,1.16016763395893
"54",47,5,0,0.621631346875802,0,0.305152070242912,2,2,0.921612232923508,1.88919686339796,2,0.242324800696224,0,0,1,3,0.293250580551103,1,0.792626187438145,2,0,18.260668815641,29.709,31.266,0,1,1.00316980601019
"56",48,6,1,0.265956700313836,0,0.80126759945415,3,1,0.417126132175326,1.70169522799551,4,0.296342864865437,1,2,0,4,0.355596751905978,1,0.638552634743974,0,1,0.492669432191178,0,0.206,0,0,1.1103184776892
"57",49,6,1,0.265956700313836,1,0.627654467243701,5,1,0.417126132175326,1.70169522799551,4,0.296342864865437,1,2,0,3,0.226548579055816,1,0.151286283042282,1,1,0.507083697663219,0.206,1.62,0,0,1.21699295155232
"58",50,6,1,0.265956700313836,0,0.189487694296986,1,2,0.417126132175326,1.70169522799551,4,0.296342864865437,1,2,0,3,0.470424195285887,1,0.0504825243260711,1,0,0.606072954784889,1.62,4.104,0,0,0.961524426269214
"59",51,6,1,0.265956700313836,0,0.155768043128774,1,2,0.417126132175326,1.70169522799551,4,0.296342864865437,1,2,0,3,0.157715023029596,1,0.446548322448507,1,1,0.779965227732282,4.104,6.125,0,0,0.961848703621172
"60",52,6,1,0.265956700313836,1,0.278760896530002,1,2,0.417126132175326,1.70169522799551,4,0.296342864865437,1,2,0,5,0.764693333534524,2,0.276727283140644,1,1,0.921507968682678,6.125,7.755,0,0,0.951107635015984
"61",53,6,1,0.265956700313836,1,0.587560346582904,2,2,0.417126132175326,1.70169522799551,4,0.296342864865437,1,2,0,5,0.864199813455343,2,0.954079356975853,1,1,1.03562515557918,7.755,9.133,0,0,0.996789129443176
"62",54,6,1,0.265956700313836,0,0.086205460363999,2,2,0.417126132175326,1.70169522799551,4,0.296342864865437,1,2,1,3,0.83050969010219,2,0.056314293295145,1,0,1.13205929904092,9.133,10.389,0,1,1.01186737752347
"67",55,7,0,0.352519957348704,1,0.593565261922777,2,1,0.311084415996447,1.31266104336828,2,0.936944267712533,0,1,0,3,0.0498858012724668,0,0.0136589633766562,0,1,0.839507273165509,0,0.122,0,0,1.0383049699667
"68",56,7,0,0.352519957348704,0,0.0340371537022293,2,1,0.311084415996447,1.31266104336828,2,0.936944267712533,0,1,0,1,0.129097918979824,0,0.1906923269853,0,1,0.859283488879762,0.122,0.561,0,0,1.05462455129176
"69",57,7,0,0.352519957348704,0,0.0790392367634922,5,1,0.311084415996447,1.31266104336828,2,0.936944267712533,0,1,0,5,0.0182341344188899,0,0.00846867356449366,1,0,0.93066591077769,0.561,2.052,0,0,1.22474763093077
"70",58,7,0,0.352519957348704,0,0.108923678519204,5,1,0.311084415996447,1.31266104336828,2,0.936944267712533,0,1,0,5,0.17191042099148,0,0.568880857666954,1,1,1.17270401285565,2.052,2.493,0,0,1.22438167662278
"71",59,7,0,0.352519957348704,1,0.074214214226231,2,1,0.311084415996447,1.31266104336828,2,0.936944267712533,0,1,0,3,0.0232357031200081,0,0.0893696218263358,1,1,1.24418994148358,2.493,5.629,0,0,1.04371144484627
"72",60,7,0,0.352519957348704,0,0.968239432899281,2,1,0.311084415996447,1.31266104336828,2,0.936944267712533,0,1,0,1,0.849804950179532,0,0.67838467634283,1,1,1.75340504764454,5.629,5.687,0,1,1.04481810205284
"78",61,8,0,0.357984045054764,1,0.512015807908028,2,0,0.430507483659312,1.49927500612102,2,0.696615647990257,1,1,0,4,0.266515373717993,1,0.540821245871484,0,1,0.280604465166107,0,0.207,0,0,1.09249020510827
"79",62,8,0,0.357984045054764,0,0.328430135734379,4,0,0.430507483659312,1.49927500612102,2,0.696615647990257,1,1,0,4,0.175158271798864,1,0.907334325136617,0,0,0.344816736877405,0.207,0.684,0,0,1.22176378376972
"80",63,8,0,0.357984045054764,1,0.362132800277323,3,0,0.430507483659312,1.49927500612102,2,0.696615647990257,1,1,0,3,0.863635790068656,1,0.939898221520707,0,1,0.492557029022015,0.684,2.235,0,0,1.15022607780285
"81",64,8,0,0.357984045054764,0,0.834164023399353,2,0,0.430507483659312,1.49927500612102,2,0.696615647990257,1,1,0,3,0.770873097004369,1,0.502089255256578,0,0,0.973433539333402,2.235,3.128,0,0,1.09992082530297
"82",65,8,0,0.357984045054764,1,0.455071589211002,2,1,0.430507483659312,1.49927500612102,2,0.696615647990257,1,1,0,4,0.522214072756469,1,0.0194848247338086,0,1,1.25035935226309,3.128,4.613,0,0,1.03980076694736
"83",66,8,0,0.357984045054764,0,0.587748703081161,4,2,0.430507483659312,1.49927500612102,2,0.696615647990257,1,1,0,1,0.903159539448097,1,0.62013443489559,0,1,1.71065526292227,4.613,6.613,0,0,1.10263454086017
"84",67,8,0,0.357984045054764,1,0.131289062090218,5,2,0.430507483659312,1.49927500612102,2,0.696615647990257,1,1,0,5,0.601856556488201,1,0.900753804948181,0,1,2.33050192104145,6.613,8.325,0,0,1.15288436974822
"85",68,8,0,0.357984045054764,0,0.636728266254067,1,2,0.430507483659312,1.49927500612102,2,0.696615647990257,1,1,1,5,0.231206906493753,1,0.00460458314046264,0,0,2.86133890869239,8.325,14.308,0,0,0.94858161946575
"86",69,8,0,0.357984045054764,0,0.826965600019321,4,2,0.430507483659312,1.49927500612102,2,0.696615647990257,1,1,1,1,0.620640784967691,1,0.782714631874114,1,0,4.7161009846932,14.308,15.329,0,0,1.10000000511063
"87",70,8,0,0.357984045054764,0,0.579698111163452,1,2,0.430507483659312,1.49927500612102,2,0.696615647990257,1,1,1,3,0.491491812746972,2,0.899007285945117,1,1,5.0325594008578,15.329,17.581,1,0,0.949122751323994
"89",71,9,1,0.507321416400373,1,0.117062004515901,5,2,0.706182577880099,1.29092648997903,2,0.817323920782655,1,1,0,4,0.585450251819566,1,0.643490268848836,0,0,0.619058893295005,0,0.14,0,0,1.16637726923935
"90",72,9,1,0.507321416400373,1,0.0962648182176054,5,2,0.706182577880099,1.29092648997903,2,0.817323920782655,1,1,0,5,0.806894130539149,1,0.959776990814134,0,0,0.66481356732658,0.14,0.975,0,0,1.16661986811897
"91",73,9,1,0.507321416400373,0,0.243221478769556,1,2,0.706182577880099,1.29092648997903,2,0.817323920782655,1,1,0,5,0.3206457789056,1,0.205618065549061,0,1,0.936797583268572,0.975,3.086,0,0,0.963330237107983
"92",74,9,1,0.507321416400373,1,0.63135847216472,2,2,0.706182577880099,1.29092648997903,2,0.817323920782655,1,1,0,4,0.920479902299121,1,0.857835489325225,0,1,1.62433391735013,3.086,3.694,0,0,0.99876039838396
"93",75,9,1,0.507321416400373,0,0.406068020034581,2,2,0.706182577880099,1.29092648997903,2,0.817323920782655,1,1,0,2,0.406057071639225,1,0.652772127883509,1,0,1.82272521271901,3.694,4.157,0,0,1.01107339512249
"94",76,9,1,0.507321416400373,0,0.712902638362721,1,2,0.706182577880099,1.29092648997903,2,0.817323920782655,1,1,0,4,0.0751628521829844,1,0.151075460016727,2,0,1.97352664779308,4.157,4.903,0,0,0.958816265415115
"95",77,9,1,0.507321416400373,1,0.169937910279259,4,2,0.706182577880099,1.29092648997903,2,0.817323920782655,1,1,0,5,0.392046035500243,1,0.514731536386535,2,1,2.21642543186663,4.903,9.437,0,0,1.10890587949673
"96",78,9,1,0.507321416400373,1,0.877348646754399,1,2,0.706182577880099,1.29092648997903,2,0.817323920782655,1,1,1,4,0.508087108843029,1,0.210028663976118,2,1,3.69371167557746,9.437,12.766,0,0,0.947716120705967
"97",79,9,1,0.507321416400373,1,0.404335738858208,5,2,0.706182577880099,1.29092648997903,2,0.817323920782655,1,1,1,1,0.0452832821756601,2,0.326913128839806,2,1,4.77818761030925,12.766,16.12,0,0,1.16303138193023
"98",80,9,1,0.507321416400373,1,0.0430308980867267,5,2,0.706182577880099,1.29092648997903,2,0.817323920782655,1,1,1,2,0.719558807555586,2,0.0287398092914373,2,0,5.87105706674817,16.12,27.958,0,0,1.16724107093843
"99",81,9,1,0.507321416400373,0,0.132969423662871,1,2,0.706182577880099,1.29092648997903,2,0.817323920782655,1,1,1,5,0.00642602541483939,2,0.138347145868465,2,1,9.72773943950743,27.958,31.679,0,1,0.964392914195878
"100",82,10,0,0.318450339604169,1,0.247133500175551,5,1,0.809675765456632,1.96108102239668,3,0.912425172282383,0,0,0,2,0.51563320425339,0,0.340225138468668,0,0,0.24638937250711,0,0.164,0,0,1.21011230384193
"101",83,10,0,0.318450339604169,1,0.351535151479766,3,1,0.809675765456632,1.96108102239668,3,0.912425172282383,0,0,0,1,0.766444254899397,0,0.437293582363054,0,0,0.338785760253414,0.164,1.196,0,0,1.09381233807967
"102",84,10,0,0.318450339604169,1,0.556250875350088,4,1,0.809675765456632,1.96108102239668,3,0.912425172282383,0,0,0,5,0.0167001932859421,0,0.168057208880782,0,0,0.919126937287544,1.196,1.613,0,0,1.1475416913716
"103",85,10,0,0.318450339604169,1,0.0266192159615457,4,1,0.809675765456632,1.96108102239668,3,0.912425172282383,0,0,0,2,0.788346520159394,0,0.498701581032947,0,0,1.15393270426889,1.613,4.614,0,0,1.15363555875436
"104",86,10,0,0.318450339604169,0,0.849935636390001,3,1,0.809675765456632,1.96108102239668,3,0.912425172282383,0,0,0,3,0.301643304759637,0,0.205205579055473,0,1,2.84280770514822,4.614,5.253,0,0,1.09931267877212
"105",87,10,0,0.318450339604169,1,0.792434850009158,1,1,0.809675765456632,1.96108102239668,3,0.912425172282383,0,0,0,4,0.308398918015882,0,0.833715978078544,1,1,3.2018486879905,5.253,8.35,0,0,0.985368254636569
"106",88,10,0,0.318450339604169,0,0.225014545954764,2,1,0.809675765456632,1.96108102239668,3,0.912425172282383,0,0,0,3,0.529186155181378,0,0.272087293677032,1,1,4.94472094713047,8.35,9.518,0,0,1.05225381890413
"107",89,10,0,0.318450339604169,1,0.163080385653302,1,1,0.809675765456632,1.96108102239668,3,0.912425172282383,0,0,0,1,0.8881978422869,0,0.104457727167755,1,1,5.60208181144655,9.518,12.723,0,0,0.991589269320443
"108",90,10,0,0.318450339604169,1,0.143529549241066,2,2,0.809675765456632,1.96108102239668,3,0.912425172282383,0,0,0,2,0.925644274102524,0,0.979246178874746,1,0,7.40558024159378,12.723,18.109,0,0,0.991783152268621
"109",91,10,0,0.318450339604169,0,0.858350994763896,3,2,0.809675765456632,1.96108102239668,3,0.912425172282383,0,0,0,3,0.917433809489012,1,0.139257851522416,1,0,10.4361487494536,18.109,21.326,0,0,1.04561057119546
"110",92,10,0,0.318450339604169,1,0.205410199705511,5,2,0.809675765456632,1.96108102239668,3,0.912425172282383,0,0,1,2,0.710468920646235,1,0.919734031194821,2,1,12.2461363082205,21.326,37.535,0,1,1.15157480515981
"111",93,11,1,0.128323283512145,0,0.833617066266015,3,2,0.363296776544303,1.88276166259311,5,0.561801463365555,1,1,0,5,0.0504729659296572,1,0.03241529292427,0,1,0.979783480288461,0,0.222,0,0,1.0543738273821
"112",94,11,1,0.128323283512145,0,0.174438274232671,1,2,0.363296776544303,1.88276166259311,5,0.561801463365555,1,1,0,5,0.796675201272592,1,0.635653369361535,0,1,1.03336431055811,0.222,1.481,0,0,0.960346473336287
"113",95,11,1,0.128323283512145,1,0.815518018323928,5,2,0.363296776544303,1.88276166259311,5,0.561801463365555,1,1,1,2,0.618160374229774,1,0.474031299585477,0,0,1.33729962186145,1.481,2.24,0,0,1.1538775492862
"114",96,11,1,0.128323283512145,1,0.811272222083062,3,2,0.363296776544303,1.88276166259311,5,0.561801463365555,1,1,1,5,0.831492769531906,1,0.296807534759864,1,1,1.52045174157249,2.24,2.732,0,0,1.04411591251886
"115",97,11,1,0.128323283512145,0,0.165410899324343,4,2,0.363296776544303,1.88276166259311,5,0.561801463365555,1,1,1,2,0.432821289636195,1,0.0927228319924325,1,1,1.63919075996186,2.732,3.513,0,0,1.11586414629875
"116",98,11,1,0.128323283512145,0,0.959281640360132,1,2,0.363296776544303,1.88276166259311,5,0.561801463365555,1,1,1,4,0.411818580934778,1,0.991917906794697,1,1,1.82767992563944,3.513,5.914,0,0,0.952838758188867
"117",99,11,1,0.128323283512145,1,0.969739106250927,3,2,0.363296776544303,1.88276166259311,5,0.561801463365555,1,1,1,5,0.114132651127875,1,0.639169847592711,1,1,2.40713600553123,5.914,6.925,0,0,1.04246264485204
"118",100,11,1,0.128323283512145,1,0.617753600236028,4,2,0.363296776544303,1.88276166259311,5,0.561801463365555,1,1,1,1,0.27266917261295,1,0.595575616462156,2,1,2.65123583326177,6.925,8.111,0,0,1.09977509172702
"119",101,11,1,0.128323283512145,0,0.64311746833846,5,2,0.363296776544303,1.88276166259311,5,0.561801463365555,1,1,1,4,0.616222452605143,2,0.0470604705624282,2,0,2.93760696358188,8.111,17.693,0,0,1.16748522840573
"120",102,11,1,0.128323283512145,1,0.8740338482894,1,2,0.363296776544303,1.88276166259311,5,0.561801463365555,1,1,1,2,0.443337974604219,2,0.125698203453794,2,0,5.25030768002754,17.693,20.728,1,0,0.944162388751903
"122",103,12,1,0.18678194610402,0,0.911869758507237,4,2,0.586880542105064,1.4467122675851,5,0.951047596288845,0,0,0,2,0.531715463614091,1,0.409489967860281,0,0,0.774519398808479,0,0.444,0,0,1.10821334771201
"123",104,12,1,0.18678194610402,1,0.346645397599787,1,2,0.586880542105064,1.4467122675851,5,0.951047596288845,0,0,0,4,0.532328539993614,1,0.0201526102609932,0,0,1.0221477833907,0.444,0.988,0,0,0.949709971159938
"124",105,12,1,0.18678194610402,0,0.65294710942544,3,2,0.586880542105064,1.4467122675851,5,0.951047596288845,0,0,1,3,0.582512274384499,1,0.197885278845206,0,0,1.32605918710375,0.988,2.9,0,0,1.05689815394992
"125",106,12,1,0.18678194610402,1,0.428405362879857,3,2,0.586880542105064,1.4467122675851,5,0.951047596288845,0,0,1,1,0.838148375274613,1,0.411278865300119,0,1,2.39247193172635,2.9,6.581,0,0,1.04873404552218
"126",107,12,1,0.18678194610402,1,0.548880342161283,3,2,0.586880542105064,1.4467122675851,5,0.951047596288845,0,0,1,2,0.248999761883169,1,0.451116986107081,0,0,4.44666359209225,6.581,11.871,0,0,1.04747134417044
"127",108,12,1,0.18678194610402,1,0.225816034944728,1,2,0.586880542105064,1.4467122675851,5,0.951047596288845,0,0,1,5,0.841472430620342,2,0.413056621327996,0,0,7.39884846905003,11.871,13.959,0,0,0.950858193220163
"128",109,12,1,0.18678194610402,0,0.316854199627414,2,2,0.586880542105064,1.4467122675851,5,0.951047596288845,0,0,1,4,0.646843055728823,2,0.538261388428509,1,0,8.56351978542823,13.959,22.519,0,0,1.00873722614117
"129",110,12,1,0.18678194610402,1,0.0616577840410173,4,2,0.586880542105064,1.4467122675851,5,0.951047596288845,0,0,1,2,0.939100649906322,2,0.567421979038045,1,1,13.3404825709787,22.519,28.873,0,0,1.10655461941808
"130",111,12,1,0.18678194610402,1,0.857741233659908,4,2,0.586880542105064,1.4467122675851,5,0.951047596288845,0,0,1,3,0.850147824501619,2,0.503620702773333,2,0,16.8860192629473,28.873,32.89,0,0,1.09778049225722
"131",112,12,1,0.18678194610402,1,0.0690423098858446,1,2,0.586880542105064,1.4467122675851,5,0.951047596288845,0,0,1,3,0.337637431919575,2,0.258117968449369,2,0,19.1276087235846,32.89,38.239,0,1,0.952350058150255
"133",113,13,0,0.998371304478496,0,0.23396387253888,3,1,0.628319905139506,1.14606634434313,5,0.730036936467513,0,1,0,4,0.601547488477081,1,0.0521125567611307,0,1,0.570253468584269,0,0.396,0,0,1.1136512977416
"134",114,13,0,0.998371304478496,0,0.849226921098307,3,1,0.628319905139506,1.14606634434313,5,0.730036936467513,0,1,1,5,0.676049661822617,1,0.367171547841281,0,1,0.830405101978529,0.396,0.845,0,0,1.10682044821172
"135",115,13,0,0.998371304478496,0,0.0407975798007101,5,1,0.628319905139506,1.14606634434313,5,0.730036936467513,0,1,1,1,0.41873406781815,1,0.18082482391037,0,0,1.12491997816048,0.845,1.431,0,0,1.23315476732107
"136",116,13,0,0.998371304478496,1,0.721733978949487,5,1,0.628319905139506,1.14606634434313,5,0.730036936467513,0,1,1,1,0.464912174502388,1,0.611660517286509,1,1,1.50989374406493,1.431,2.738,0,0,1.21259946475823
"137",117,13,0,0.998371304478496,1,0.980412017321214,5,1,0.628319905139506,1.14606634434313,5,0.730036936467513,0,1,1,5,0.139504205668345,1,0.0421676565892994,1,0,2.36753173568853,2.738,5.722,0,0,1.20946678976744
"138",118,13,0,0.998371304478496,1,0.174609485315159,3,1,0.628319905139506,1.14606634434313,5,0.730036936467513,0,1,1,4,0.780402151634917,1,0.469479736173525,1,1,4.32604163907076,5.722,7.922,0,0,1.10322490027138
"139",119,13,0,0.998371304478496,0,0.0908157718367875,2,1,0.628319905139506,1.14606634434313,5,0.730036936467513,0,1,1,5,0.820477039320394,1,0.994856467703357,1,1,5.77041045622267,7.922,8.393,0,0,1.06085539098758
